treatment company,azimuth,md (ft),tvd (ft),date on production,operator,footage lateral length,well spacing,porpoise deviation,porpoise count,shale footage,acoustic impedance,log permeability,porosity,poisson ratio,water saturation,toc,vcl,p-velocity,s-velocity,youngs modulus,isip,breakdown pressure,pump rate,total number of stages,proppant volume,proppant fluid ratio,gas production
treatment company 1,-58.93,16356.0,7417.0,2014-12-01,operator 18,8200.0,2605.4822,12.85,13.0,8282.0,32716.89,0.99,0.07,0.35,0.61,5.18,0.8,11844.67,6374.62,29.36,5335.0,,80.0,56.0,,0.86,1347.50291201875
treatment company 12,-62.369999,12336.0,8013.0,2015-04-01,operator 27,3630.0,942.0427900000001,0.89,3.0,1075.0,35216.9,0.18,0.02,0.34,,4.64,0.67,13309.81,6919.51,30.8,6167.0,,90.0,12.0,7037949.0,1.07,1172.2597454000002
treatment company 5,-38.450001,12875.0,7478.0,2013-01-01,operator 18,4825.0,669.4707599999999,227.76,1.0,3954.0,34960.82,0.47,0.02,0.33,0.8,4.64,0.57,13147.24,7056.87,31.22,5350.0,8952.0,76.0,12.0,1812294.0,0.41,573.5786895499998
treatment company 12,-47.580002,11931.0,6657.0,2018-11-01,operator 29,5013.0,912.24866,6.99,23.0,0.0,35165.63,0.64,0.0,0.32,0.98,4.81,0.52,12695.5,7475.46,32.71,5231.0,,100.0,28.0,10843506.0,1.04,904.8268465943753
treatment company 1,-23.469998999999998,16122.0,7976.0,2013-01-01,operator 20,7363.0,2991.5288,27.3,6.0,2055.0,28834.63,0.31,0.02,0.33,,4.67,0.62,13196.83,6994.84,,4976.0,7601.0,86.0,10.0,,1.56,1402.3988456124996
treatment company 4,9.840000199999999,12481.0,7470.0,2016-01-01,operator 4,3845.0,4996.5981,5.4,8.0,0.0,34663.15,1.22,,0.35,,5.06,0.93,12104.09,6417.09,29.43,6096.0,,98.0,25.0,6275340.0,0.95,562.3918916875
treatment company 4,-23.950001,13040.0,6457.0,2015-03-01,operator 1,5628.0,1248.3748,8.13,5.0,5032.0,29426.64,0.77,0.03,0.21,0.73,4.65,0.49,12696.02,6799.25,26.46,4251.0,,96.0,15.0,,1.57,2075.76694891875
treatment company 1,-32.029999,21254.0,5685.0,2017-07-01,operator 11,14712.0,1020.99,62.97,2.0,4676.0,32897.83,0.29,0.02,0.33,0.83,4.68,0.62,13216.42,6986.63,31.03,4107.0,,83.0,77.0,35251304.0,1.08,1758.291183225
treatment company 1,-42.240002000000004,13746.0,7981.0,2011-01-01,operator 20,5375.0,2014.1470000000002,0.09,8.0,0.0,34617.18,0.31,0.01,0.33,,4.69,0.59,13269.06,6960.49,30.94,5800.0,,80.0,14.0,,1.27,1331.59524573125
treatment company 5,-34.380001,13680.0,6748.0,2013-08-01,operator 1,6489.0,886.8457599999999,7.66,8.0,6634.0,33460.67,1.08,,0.29,0.7,4.96,0.44,12140.95,6766.02,28.3,4933.0,,98.0,20.0,,1.19,1880.93649315625
treatment company 4,-44.52,12895.0,6413.0,2014-07-01,operator 1,6335.0,2265.0242,12.75,13.0,7319.0,35109.27,0.5,0.02,0.33,0.85,4.83,0.56,13280.73,7014.03,31.04,5084.0,6651.0,100.0,20.0,9820553.0,1.32,1128.2946455125
treatment company 3,-16.139999,19419.0,6394.0,2016-07-01,operator 5,12409.0,895.27795,13.44,16.0,2382.0,34589.38,0.46,,0.33,,4.67,0.59,13207.6,7038.37,31.16,4337.0,,69.0,60.0,20216956.0,0.94,2414.029859137501
treatment company 8,,12588.0,6578.0,2012-07-01,operator 4,5185.0,3302.967,6.1,18.0,0.0,34754.98,0.3,0.02,0.33,0.86,4.66,0.61,13178.24,7013.4,31.11,4706.0,,83.0,16.0,6561532.0,1.12,545.2123628075
treatment company 8,,12083.0,6628.0,2016-01-01,operator 26,4410.0,998.45557,378.93,1.0,0.0,30923.59,0.16,0.02,0.34,0.8,4.51,0.54,13356.46,6862.91,30.64,4953.0,,97.0,20.0,6592520.0,0.77,487.3042642075
treatment company 8,-24.5,12460.0,6772.0,2014-10-01,operator 4,4997.0,935.2661099999999,84.23,1.0,0.0,30602.81,0.54,0.02,0.34,0.49,3.91,0.71,12756.14,6694.28,30.2,4487.0,6187.0,81.0,20.0,7931021.0,1.09,529.019092630625
treatment company 15,-61.299999,12378.0,5907.0,2015-09-01,operator 19,6060.0,2154.1702,11.99,15.0,4986.0,31388.86,0.06,0.02,0.33,0.81,4.61,0.73,13170.64,6895.76,30.78,4388.0,,83.0,26.0,9515041.0,0.88,690.7747680731247
treatment company 5,-10.57,13262.0,6087.0,2018-02-01,operator 11,6925.0,718.01642,18.48,14.0,5383.0,34531.66,0.47,0.02,0.33,,4.64,0.57,13160.76,7056.25,31.21,3922.0,4885.0,70.0,29.0,8710991.0,0.92,1139.1343493437496
treatment company 5,-19.690001000000002,16485.0,7672.0,2016-05-01,operator 11,7816.0,1806.0015,5.59,4.0,5032.0,30784.02,0.62,0.04,0.32,0.83,4.95,0.54,12625.67,7227.57,31.97,5385.0,,70.0,39.0,,0.81,3726.9417394687507
treatment company 5,-34.939999,15286.0,7662.0,2016-04-01,operator 11,7423.0,3681.2639,8.92,3.0,0.0,31061.85,0.62,0.04,0.33,,4.93,0.53,12634.4,7223.72,31.95,5246.0,5703.0,70.0,37.0,,0.84,3139.6223327437506
treatment company 16,11.92,14719.0,6110.0,2014-07-01,operator 14,7253.0,4034.4731,11.86,3.0,0.0,34603.7,0.47,0.03,0.25,0.84,5.16,0.49,12668.57,6780.53,27.26,4757.0,,80.0,40.0,15246000.0,1.05,4236.4811586937485
treatment company 9,-5.6900001,16979.0,8782.0,2019-03-01,operator 6,7947.0,2072.6045,5.08,4.0,6132.0,32627.37,0.47,0.02,0.34,0.83,4.65,0.58,13177.63,7045.44,31.18,5445.0,,78.0,32.0,22200672.0,1.85,5772.3913069374985
treatment company 6,-21.299999,15214.0,7217.0,2015-02-01,operator 5,7819.0,673.23779,4.42,8.0,4443.0,34682.66,1.23,0.06,0.34,0.45,4.02,1.81,12395.72,6486.56,29.75,5101.0,,64.0,39.0,9376300.0,0.9,2445.046943925
treatment company 8,-37.049999,11565.0,7906.0,2015-04-01,operator 26,3372.0,2613.0603,7.47,16.0,7375.0,33126.6,1.08,0.05,0.32,0.65,5.49,0.83,12691.94,7365.82,32.75,6460.0,,47.0,30.0,2750448.0,0.67,342.41926102750006
treatment company 12,-18.959999,13836.0,7681.0,2018-03-01,operator 25,5442.0,979.0495,14.18,6.0,3570.0,30755.07,1.47,0.03,0.24,0.92,4.08,0.42,12244.14,6836.45,28.15,4896.0,,90.0,28.0,12343800.0,1.32,1608.4268588937498
treatment company 13,-2.04,9150.0,5146.0,2011-01-01,operator 15,3270.0,785.82037,10.47,5.0,3779.0,35210.29,0.3,0.01,0.33,,4.69,0.6,13252.12,6966.27,30.96,4123.0,,70.0,11.0,3930031.0,1.9,598.15950624375
treatment company 6,-65.610001,14407.0,7200.0,2015-05-01,operator 4,6334.0,1604.1664,93.88,9.0,7158.0,34559.0,0.68,0.02,0.34,,5.0,0.42,13592.23,6950.44,30.82,5277.0,,96.0,42.0,10639608.0,0.9,3019.07894220625
treatment company 7,-44.150002,14768.0,7922.0,2013-07-01,operator 4,6376.0,3954.4011,1.27,11.0,0.0,35332.45,0.47,0.02,0.34,0.81,4.65,0.58,13177.63,7045.44,,5711.0,,97.0,44.0,8720932.0,0.88,2038.7096031312494
treatment company 12,-19.610001,16584.0,8446.0,2014-07-01,operator 9,7923.0,,8.59,5.0,0.0,34730.4,0.93,0.05,0.27,0.99,4.81,0.5,11596.11,7047.21,31.19,6147.0,9489.0,91.0,39.0,10541538.0,1.09,993.0031843875
treatment company 9,-31.5,14664.0,8489.0,2017-08-01,operator 6,5925.0,1862.0977,14.64,6.0,5156.0,34705.84,0.47,0.05,0.22,,2.42,0.59,12039.65,6807.38,28.26,5930.0,,84.0,41.0,,1.64,5113.88429474375
treatment company 7,-16.85,14011.0,8100.0,2015-10-01,operator 4,5380.0,5035.5981,14.18,11.0,0.0,30857.3,0.05,,0.34,0.89,,0.77,13091.32,6911.33,30.85,5808.0,,99.0,29.0,7656131.0,0.77,2247.6465039375
treatment company 1,-55.75,12402.0,8443.0,2013-07-01,operator 26,3966.0,845.1337300000001,24.18,27.0,12059.0,34755.29,0.24,0.03,0.33,,5.11,0.92,12995.64,6973.22,31.54,5690.0,,93.0,10.0,2939467.0,0.8,786.48699621875
treatment company 9,-10.42,11057.0,6265.0,2013-07-01,operator 17,4145.0,2847.6301,0.49,24.0,14703.0,34745.94,0.8,0.06,0.26,,5.15,0.44,13239.01,6774.38,27.15,4106.0,,77.0,28.0,4307523.0,1.13,569.31383270625
treatment company 2,-20.040001,15078.0,5879.0,2015-02-01,operator 2,8604.0,699.8468,0.43,32.0,10231.0,33143.52,0.47,0.02,0.33,0.89,4.64,0.57,13168.79,7058.84,31.22,,,110.0,24.0,14421070.0,2.22,1293.777093325
treatment company 5,-56.200001,17042.0,7630.0,2014-01-01,operator 8,9013.0,,0.66,14.0,4721.0,35185.98,0.45,0.01,0.33,0.83,4.75,0.56,13312.97,6994.3,31.01,5565.0,,80.0,60.0,12015000.0,1.07,1522.0736959999995
treatment company 2,,10218.0,6389.0,2011-07-01,operator 2,3703.0,,4.07,6.0,2961.0,28764.37,0.53,,0.33,,4.78,0.41,13451.61,6934.0,30.82,3493.0,5654.0,100.0,11.0,4417255.0,1.48,424.052103675625
treatment company 24,-48.290001000000004,10782.0,6701.0,2018-07-01,operator 4,3603.0,755.13428,0.26,25.0,12410.0,34633.59,0.64,0.02,0.34,,4.07,0.56,12677.36,6707.0,30.23,4226.0,8797.0,95.0,18.0,7658760.0,1.4,830.2158009973125
treatment company 5,-51.810001,15906.0,,2018-06-01,operator 11,9337.0,2786.4678,304.01,1.0,0.0,30409.34,0.46,0.02,0.33,,4.68,0.59,13210.48,7036.46,31.15,,,69.0,46.0,,1.12,2361.5171726624994
treatment company 10,-16.35,10195.0,6685.0,2018-04-01,operator 4,3260.0,810.07605,11.16,7.0,4183.0,29028.88,0.45,0.02,0.33,,4.72,0.58,13284.4,7002.64,31.05,3433.0,,94.0,17.0,,1.28,687.07578361875
treatment company 9,-36.07,24912.0,6468.0,2018-08-01,operator 11,18208.0,505.91956,104.71,1.0,0.0,35056.46,0.29,0.02,0.33,,4.68,0.63,13203.24,6983.49,31.02,4222.0,,84.0,91.0,27453790.0,0.88,3207.42027515625
treatment company 4,-63.150002,13721.0,6664.0,2016-06-01,operator 4,3623.0,1145.7778,141.51,1.0,0.0,35153.19,0.53,0.01,0.33,0.86,4.78,0.41,13451.61,6934.0,30.82,4357.0,,101.0,22.0,5549000.0,0.97,991.81681281875
treatment company 7,-27.25,13440.0,8870.0,2012-04-01,operator 11,4255.0,3615.9873,43.3,5.0,0.0,34599.59,0.94,0.05,0.29,,4.27,0.7,11814.56,7090.58,31.82,,,70.0,15.0,1744237.0,0.53,856.5170939999998
treatment company 10,-42.68,9152.0,6154.0,2012-01-01,operator 11,2770.0,938.3815300000001,83.33,3.0,2766.0,34111.39,0.26,0.02,0.33,0.88,4.68,0.61,13255.17,6953.57,30.92,3936.0,5946.0,69.0,9.0,2781614.0,1.13,247.50991386562495
treatment company 10,-47.709998999999996,10232.0,6423.0,2013-07-01,operator 11,3504.0,3738.7791,0.18,11.0,5488.0,35190.53,0.41,0.02,0.33,,4.78,0.6,13238.79,7142.58,31.35,4333.0,,70.0,17.0,8349601.0,1.15,679.6426082625002
treatment company 5,-20.74,12300.0,7565.0,2011-07-01,operator 8,4305.0,3011.3789,12.81,6.0,9144.0,31757.82,1.24,0.04,0.32,,4.91,0.97,12591.21,7452.63,32.83,5643.0,,86.0,15.0,2121223.0,0.38,958.53475190625
treatment company 16,,14600.0,7283.0,2012-07-01,operator 14,6586.0,2370.5276,5.22,5.0,3519.0,35012.49,0.1,0.02,0.25,0.95,3.77,0.62,11137.39,6786.47,28.24,,7231.0,80.0,35.0,13298793.0,1.06,8444.751758812501
treatment company 1,-24.9,15114.0,6434.0,2017-04-01,operator 5,8323.0,1953.6724,8.85,9.0,2971.0,28589.71,0.26,0.01,0.34,,4.68,0.62,13263.35,6960.29,30.94,,,78.0,42.0,21264292.0,1.12,2753.7679623625
treatment company 8,-29.51,12860.0,6249.0,2014-04-01,operator 1,6227.0,1042.677,1.69,13.0,0.0,34679.94,0.21,0.01,0.33,0.91,4.88,0.49,13429.59,7097.51,31.18,4487.0,,82.0,22.0,11285435.0,1.14,768.2413007624998
treatment company 8,-47.34,10912.0,6067.0,2012-01-01,operator 6,4575.0,1718.3086,11.35,15.0,0.0,34642.75,0.06,0.02,0.33,,4.61,0.73,13170.64,6895.76,30.78,5047.0,,67.0,13.0,5676000.0,1.22,369.4334118768749
treatment company 3,-36.630001,12532.0,5981.0,2018-06-01,operator 1,5993.0,732.5921,4.66,15.0,0.0,32361.66,0.21,0.01,0.33,,4.85,0.33,13349.26,7157.38,31.34,4698.0,,90.0,43.0,21534356.0,1.85,1402.9336903187498
treatment company 3,-57.77,15020.0,6266.0,2017-08-01,operator 8,8247.0,1190.3782,0.72,2.0,2825.0,34261.43,0.28,0.02,0.33,,4.68,0.62,13204.97,6985.98,31.03,,5538.0,90.0,42.0,16568523.0,1.22,1504.99761018125
treatment company 2,-33.290001000000004,18895.0,8044.0,2015-06-01,operator 6,10601.0,1552.6783,123.83,1.0,0.0,30469.83,0.94,0.07,0.21,0.84,3.2,0.46,11661.99,6810.27,27.94,5832.0,,87.0,47.0,18847346.0,1.37,3699.1525606875
treatment company 1,,14855.0,8105.0,2013-01-01,operator 20,6064.0,736.02026,314.32,8.0,8930.0,34765.36,0.28,0.02,0.33,,4.68,0.62,13204.97,6985.98,31.03,5321.0,,84.0,11.0,5650875.0,1.48,1237.4002627375
treatment company 1,-36.860001000000004,18189.0,6585.0,2017-10-01,operator 5,10942.0,689.04767,14.78,22.0,12274.0,34708.68,1.24,,0.34,,3.75,1.8,12457.46,6553.04,29.91,3784.0,,76.0,54.0,8533380.0,0.39,2158.8703882062496
treatment company 1,-27.02,14080.0,6956.0,2016-12-01,operator 8,6426.0,,1.94,20.0,7096.0,33828.42,0.47,0.02,0.33,,4.66,0.58,13184.96,7049.93,31.19,4658.0,,86.0,29.0,11559831.0,0.76,1666.9174399312494
treatment company 5,-39.990002000000004,16524.0,,2018-08-01,operator 11,10038.0,3882.4041,25.52,9.0,0.0,35074.06,0.34,0.02,0.33,0.82,4.65,0.59,13166.69,7032.5,31.15,4103.0,5980.0,70.0,51.0,15192747.0,0.91,1795.38940414
treatment company 16,-27.200001,11811.0,6241.0,2014-07-01,operator 14,5219.0,3202.1626,27.92,3.0,0.0,34776.92,0.36,0.03,0.25,0.86,5.15,0.53,12369.97,6781.48,27.38,4837.0,,80.0,30.0,11457679.0,1.05,2554.08946725625
treatment company 8,-45.799999,9473.0,5648.0,2016-01-01,operator 30,3292.0,1783.9043,20.42,7.0,1746.0,34879.27,0.59,0.02,0.33,0.83,4.56,0.31,13507.64,6877.28,30.66,4485.0,,87.0,22.0,6141882.0,1.27,565.7296862000002
treatment company 4,-50.650002,11723.0,6535.0,2013-01-01,operator 1,4592.0,2093.6353,19.33,9.0,6053.0,35438.36,0.58,0.02,0.21,,4.47,0.49,13536.45,6797.42,26.22,4730.0,,99.0,16.0,7486965.0,1.21,1555.7616135812498
treatment company 12,-11.73,13390.0,8417.0,2014-01-01,operator 25,4843.0,940.2976699999999,10.55,2.0,0.0,35084.51,1.38,0.09,0.21,0.67,3.87,0.49,12025.9,6821.91,27.83,5809.0,9356.0,90.0,24.0,11727563.0,1.18,3313.900726490625
treatment company 1,-17.52,14921.0,6375.0,2016-10-01,operator 2,8341.0,4777.8975,146.95,0.0,0.0,29774.6,1.41,,0.19,0.44,6.41,0.53,11950.22,7018.34,28.23,5045.0,,86.0,23.0,13789190.0,1.42,1806.0922755812494
treatment company 10,-28.26,10370.0,6525.0,2011-07-01,operator 11,3636.0,2263.1262,17.1,5.0,5212.0,29736.88,0.26,0.02,0.33,,4.68,0.61,13255.17,6953.57,30.92,,,69.0,11.0,3531429.0,0.94,715.1025636125
treatment company 3,-34.740002000000004,14956.0,7300.0,2019-03-01,operator 8,6877.0,,9.15,12.0,5082.0,33696.46,0.31,0.02,0.33,0.8,4.66,0.61,13182.77,7015.94,31.11,5112.0,8947.0,80.0,34.0,16646094.0,1.47,2469.8493334437508
treatment company 12,-14.26,13866.0,8628.0,2013-07-01,operator 9,4922.0,707.3999,4.32,4.0,2505.0,34727.69,0.9,0.05,0.29,,4.36,0.48,11683.91,7070.63,31.7,6078.0,,91.0,18.0,7014641.0,1.29,607.2159773937499
treatment company 24,-32.07,16832.0,7494.0,2018-10-01,operator 4,8986.0,3921.3306,3.96,9.0,0.0,29404.23,0.35,0.02,0.33,,4.68,0.61,13203.94,7003.34,31.06,5785.0,,86.0,45.0,20005626.0,1.28,2677.5275523125
treatment company 6,-57.84,11229.0,7402.0,2014-07-01,operator 14,2691.0,1566.9513,32.85,11.0,0.0,35293.43,0.1,0.02,0.24,,4.22,0.59,11277.18,6790.23,27.87,5674.0,7053.0,80.0,16.0,6129300.0,1.08,1690.709876675
treatment company 4,-11.28,11380.0,6655.0,2016-01-01,operator 4,3952.0,4159.9019,24.07,6.0,534.0,35185.86,0.54,0.02,0.33,,4.44,0.25,13493.47,6853.18,30.59,4371.0,7625.0,98.0,27.0,6794225.0,0.98,1053.8332586375
treatment company 1,-0.19,11623.0,5944.0,2015-12-01,operator 1,5256.0,1386.7273,6.63,10.0,6433.0,33757.01,0.35,0.02,0.33,,4.65,0.6,13164.73,7033.62,31.16,3927.0,,100.0,10.0,10066260.0,1.83,1039.0365550125
treatment company 12,0.80000001,12286.0,8279.0,2018-08-01,operator 25,3327.0,,16.71,22.0,8267.0,33164.9,1.74,0.08,0.25,,3.91,0.6,11468.38,6876.92,28.48,5862.0,8769.0,92.0,19.0,8372293.0,1.52,1481.0445273562498
treatment company 12,-31.360001,19966.0,7852.0,2018-06-01,operator 4,11488.0,4029.6738,3.25,20.0,11182.0,32152.96,0.17,0.03,0.33,,4.85,0.87,12869.52,6990.64,31.31,4724.0,,99.0,41.0,15598040.0,1.33,4153.9928217125
treatment company 9,-17.639999,16070.0,8395.0,2015-05-01,operator 11,7225.0,2996.8362,39.83,11.0,8248.0,34771.54,0.88,0.05,0.28,,4.55,0.77,11821.01,7093.07,31.67,6567.0,,71.0,41.0,4680448.0,1.02,1597.5171975125004
treatment company 9,-15.05,14070.0,7196.0,2015-01-01,operator 5,6461.0,2661.1072,33.34,8.0,460.0,35326.04,1.24,0.06,0.34,0.43,4.09,1.79,12377.43,6475.42,,5255.0,5550.0,64.0,33.0,7864450.0,0.9,2066.50645825
treatment company 3,-49.860001000000004,18867.0,6361.0,2018-10-01,operator 1,11415.0,1154.8275,0.19,9.0,5536.0,34589.69,0.29,0.02,0.34,0.8,4.68,0.63,13203.24,6983.49,31.02,4761.0,,88.0,64.0,23425792.0,1.31,5038.058160374999
treatment company 8,-17.290001,14515.0,6210.0,2012-04-01,operator 6,7712.0,558.9032,18.9,19.0,9558.0,35025.42,0.3,0.02,0.24,0.87,5.11,0.38,12666.11,6785.05,27.15,4114.0,,72.0,13.0,9226919.0,1.28,1196.9861903125004
treatment company 25,3.3699999,19590.0,6932.0,2017-12-01,operator 4,10410.0,4134.7451,9.13,5.0,2191.0,29198.18,1.41,0.05,0.2,0.8,5.17,0.65,12748.89,7064.66,29.37,5407.0,,94.0,32.0,12817632.0,1.12,1857.67507208125
treatment company 10,-50.150002,13225.0,6260.0,2015-01-01,operator 11,6151.0,3535.8738,3.91,6.0,0.0,34617.29,0.59,0.02,0.34,,4.56,0.31,13507.64,6877.28,30.66,4539.0,,70.0,29.0,14233032.0,1.14,1009.9164387124997
treatment company 1,-86.389999,13405.0,8028.0,2013-01-01,operator 26,4284.0,997.4184,264.87,1.0,0.0,31331.08,0.04,0.03,0.34,,4.62,0.79,13089.28,6883.41,30.76,5426.0,,99.0,10.0,3498780.0,0.86,1085.16550243125
treatment company 8,-28.610001,12028.0,8181.0,2012-01-01,operator 31,3335.0,2059.8062,110.43,3.0,0.0,34742.11,0.81,0.05,0.34,,,0.55,13187.04,7372.99,33.1,6577.0,,86.0,22.0,4121980.0,0.85,399.83910529812516
treatment company 24,-6.0599999,11601.0,5781.0,2018-09-01,operator 2,5469.0,1154.8553,1.51,20.0,0.0,34599.59,0.26,0.02,0.33,,4.68,0.61,13239.24,6958.72,30.94,4095.0,,91.0,20.0,9472652.0,2.17,929.84903351875
treatment company 1,-39.639998999999996,15093.0,6425.0,2017-11-01,operator 5,8132.0,1324.2133,1.39,6.0,4806.0,29605.94,0.5,0.02,0.33,,4.74,0.6,13275.54,7042.77,31.13,3091.0,6149.0,75.0,38.0,15464855.0,1.17,1745.3963180874996
treatment company 9,-20.110001,14425.0,7071.0,2016-01-01,operator 16,7104.0,,6.29,8.0,6269.0,35143.87,1.06,0.05,0.34,0.51,3.82,1.64,12576.4,6568.39,29.92,4717.0,,75.0,34.0,6045033.0,0.63,2106.2367887625
treatment company 4,-41.84,12240.0,6648.0,2017-08-01,operator 14,5342.0,1515.0177,1.71,11.0,0.0,34582.87,0.14,0.02,0.24,,5.08,0.51,11884.85,6784.76,27.55,5197.0,,110.0,27.0,13516393.0,1.19,6737.6664340875
treatment company 10,-51.209998999999996,16591.0,7600.0,2017-12-01,operator 11,8848.0,755.51239,1.51,18.0,0.0,35169.14,0.6,0.04,0.33,0.85,4.85,0.5,12683.25,7202.9,31.85,5651.0,6779.0,70.0,44.0,8807216.0,0.85,3578.85700445
treatment company 3,-26.68,16913.0,6455.0,2018-03-01,operator 5,10193.0,3046.6384,8.3,13.0,5518.0,32987.99,0.17,0.02,0.33,,4.48,0.52,13346.62,6855.51,30.61,3684.0,,76.0,52.0,25671304.0,1.08,3474.15935510625
treatment company 2,-31.82,15515.0,8262.0,2013-01-01,operator 20,6760.0,,25.54,7.0,2627.0,34833.46,0.62,,0.33,0.8,4.76,0.46,13487.45,6941.16,30.86,5236.0,7450.0,83.0,11.0,4117644.0,1.18,1323.963057825
treatment company 1,-26.48,17671.0,6431.0,2018-08-01,operator 5,10887.0,2025.4263,41.29,9.0,5150.0,34167.78,1.4,0.05,0.34,0.58,3.61,1.84,12368.37,6546.45,29.92,3995.0,5323.0,77.0,55.0,21822590.0,1.01,2351.92439885
treatment company 5,-40.369999,14432.0,7866.0,2012-07-01,operator 8,6165.0,738.44275,6.5,11.0,0.0,27560.55,0.53,0.01,0.34,0.86,4.75,0.42,13444.71,6925.42,30.8,5506.0,,71.0,19.0,,0.46,1052.00431370125
treatment company 16,,13735.0,7123.0,2015-01-01,operator 14,6362.0,1087.7366,16.16,6.0,5201.0,29237.25,1.02,,0.28,0.7,4.81,0.45,11699.89,6768.05,28.55,5205.0,,80.0,30.0,11432858.0,0.95,3226.0840966375
treatment company 9,-50.419998,12407.0,7238.0,2014-07-01,operator 14,4672.0,3016.9063,35.78,2.0,3071.0,34069.93,0.91,0.03,0.27,0.72,4.92,0.47,11470.5,6771.83,28.38,4989.0,,84.0,20.0,7256254.0,1.08,3481.3444252687505
treatment company 10,-48.810001,10406.0,6859.0,2013-05-01,operator 11,2818.0,1937.2744,24.74,6.0,5072.0,33743.14,0.57,0.03,0.33,,4.65,0.56,13158.67,7120.98,31.35,,,69.0,12.0,,1.1,653.71660016875
treatment company 12,-32.23,12023.0,6048.0,2013-07-01,operator 7,5597.0,,10.62,10.0,472.0,34661.95,0.31,0.01,0.3,0.89,4.68,0.62,13456.54,6916.17,30.79,4518.0,,90.0,37.0,7985190.0,1.06,1649.3832423437498
treatment company 26,-18.75,11545.0,7146.0,2013-07-01,operator 14,3300.0,4444.5308,724.05,1.0,0.0,34661.95,0.14,0.02,0.24,,4.92,0.56,11517.73,6785.58,27.77,5557.0,6943.0,83.0,20.0,,1.12,4376.406178275
treatment company 10,-30.08,11690.0,6566.0,2013-02-01,operator 11,3851.0,3174.8035,6.76,9.0,4298.0,35301.13,0.44,,0.33,,4.74,0.44,13178.65,7185.79,31.46,4157.0,5752.0,70.0,18.0,5045594.0,0.94,551.7167451562501
treatment company 1,-16.18,14541.0,7922.0,2014-07-01,operator 25,6287.0,968.0450400000001,0.51,21.0,16291.0,33295.01,0.26,0.03,0.26,,2.54,0.6,11113.49,6783.33,28.7,5847.0,,90.0,37.0,10554243.0,0.85,2081.97844825
treatment company 9,-66.400002,12734.0,6935.0,2016-06-01,operator 1,5549.0,1762.5278,9.48,11.0,6031.0,34582.87,0.62,0.01,0.33,,4.91,0.44,13478.62,6953.4,30.86,,,2.0,19.0,9545338.0,1.67,1025.3763998124996
treatment company 12,,12427.0,5359.0,2018-11-01,operator 22,6818.0,2360.1843,19.57,15.0,0.0,34784.01,0.54,0.01,0.34,,4.83,0.42,13453.26,6933.44,30.81,4104.0,,100.0,35.0,14847728.0,1.09,876.2633795125
treatment company 12,1.28,12180.0,6581.0,2014-07-01,operator 25,4581.0,896.22321,36.58,5.0,0.0,30823.71,0.65,0.02,0.34,,5.14,0.4,13591.62,6954.28,30.84,4318.0,,89.0,28.0,14051449.0,1.24,1719.50334076875
treatment company 8,-33.07,13139.0,7021.0,2014-01-01,operator 1,5913.0,4055.5796,32.82,3.0,0.0,34546.34,0.61,0.02,0.33,,5.06,0.46,13561.04,6970.84,30.88,4365.0,,79.0,23.0,,1.09,1072.3195107875
treatment company 12,-23.200001,19466.0,8988.0,2018-11-01,operator 25,10482.0,4185.5156,6.1,6.0,4061.0,30034.49,1.41,0.05,0.24,0.93,4.1,0.6,11974.57,6805.45,27.68,4754.0,,89.0,59.0,25893920.0,1.56,4642.388947224998
treatment company 8,-39.209998999999996,13216.0,6341.0,2017-01-01,operator 26,6333.0,3785.8442,16.84,7.0,4143.0,27656.3,0.28,0.02,0.33,,4.68,0.62,13204.97,6985.98,31.03,4482.0,6160.0,98.0,25.0,12369844.0,0.95,467.08743503375
treatment company 1,-11.12,13021.0,6033.0,2016-04-01,operator 11,6738.0,2764.3838,14.6,12.0,0.0,34850.7,0.62,,0.33,,4.85,0.46,13479.49,6980.1,30.95,4048.0,,70.0,28.0,10978129.0,1.06,758.1048371062501
treatment company 2,-10.84,12095.0,5907.0,2011-01-01,operator 2,5511.0,947.2130699999999,3.21,15.0,6596.0,34748.79,1.19,0.1,0.19,,6.29,0.5,12161.64,7026.79,28.09,4466.0,,82.0,16.0,6460784.0,1.39,1202.43474935625
treatment company 1,-55.130001,11881.0,7041.0,2017-03-01,operator 1,4300.0,1779.8655,81.85,8.0,5519.0,34636.68,0.49,0.02,0.33,0.86,4.66,0.58,13167.66,7032.46,31.14,5144.0,,99.0,21.0,8327928.0,1.25,2325.8273776625
treatment company 3,-17.84,13878.0,6385.0,2016-05-01,operator 5,6828.0,2975.7158,3.22,8.0,0.0,35137.85,0.46,0.02,0.33,0.86,4.66,0.58,13182.1,7047.33,31.18,4452.0,5890.0,74.0,34.0,10224970.0,0.89,1647.2604467818746
treatment company 12,-17.799999,14350.0,8961.0,2014-07-01,operator 25,5268.0,981.69714,93.68,11.0,0.0,30615.06,1.17,0.06,0.22,,4.08,0.67,11903.69,6800.98,27.32,4732.0,,89.0,29.0,14381981.0,1.17,3666.88473815
treatment company 8,-15.81,11559.0,6544.0,2014-12-01,operator 4,4765.0,3827.5212,34.14,10.0,1739.0,34776.92,0.29,0.02,0.27,,4.69,0.61,13227.81,6976.93,30.99,,,81.0,18.0,7427334.0,1.17,539.436705039375
